"istat_code","comune","provincia","current_plan","current_variant","procedural_status","act_and_date","bur_publication","institutional_source_url","access_date","irdat_dataset_id","irdat_detail_url","irdat_admin_structure","irdat_metadata_date","irdat_publication_date","geometry_source","geometry_format","geometry_crs","geometry_layer_service_id","geometry_alignment_status","currentness_status","evidence_used","independent_current_source","eagle_access_status_baseline","cer_2018_reference","vector_download_status","vector_artifact_path","vector_bytes","vector_sha256","vector_archive_integrity","vector_shp_present","vector_prj_present","notes_gap","detail_error","supplement_source_url","supplement_fetch_status","supplement_sha256"
"030070","Palmanova","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20161110 H:20161110","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030072","Pasian di Prato","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20180412 H:20180412","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030077","Porpetto","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20131010 H:20131010","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030078","Povoletto","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160929 H:20160929","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","https://www.comune.povoletto.ud.it/amministrazione/unita_organizzativa/urbanistica-ed-edilizia-privata/","FETCH_ERROR:URLError",""
"030079","Pozzuolo del Friuli","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20161103 H:20161103","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030084","Preone","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D: H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030095","Rive d'Arcano","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170406 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030099","San Daniele del Friuli","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170831 H:20170831","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030100","San Giorgio di Nogaro","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170803 H:20170803","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030104","Santa Maria la Longa","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20151224 H:20151224","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030113","Taipana","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D: H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030121","Tolmezzo","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170316 H:20170316","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","https://www.comune.tolmezzo.ud.it/p-r-g/","FETCH_ERROR:URLError",""
"030123","Torviscosa","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160602 H:20160602","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030126","Treppo Grande","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170824 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030127","Tricesimo","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160407 H:20160407","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030128","Trivignano Udinese","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20180201 H:20180201","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"030188","Rivignano Teor","UD","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D: H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"031010","Mariano del Friuli","GO","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20121025 H:20121025","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"031011","Medea","GO","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20130905 H:20130905","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"031014","Mossa","GO","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160609 H:20160609","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"031015","Romans d'Isonzo","GO","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170413 H:20170413","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"031024","Turriaco","GO","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170817 H:20170817","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093002","Arba","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20161103 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093006","Barcis","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20151001 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093014","Cimolais","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20170928 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093015","Claut","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160602 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093017","Cordenons","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20161208 H:","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093032","Porcia","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20160303 H:20160303","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093033","Pordenone","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20180215 H:20180215","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
"093052","Vajont","PN","","","","","","","2026-09-19","","","","","","","","","","NO_IRDAT_EXACT_VECTOR_MATCH","TO_VERIFY","","","STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF","D:20110414 H:20110414","NOT_ACQUIRED_CURRENTNESS_UNVERIFIED","","","","","","","Ricerca su fonte comunale/BUR necessaria; Eagle/CER non costituiscono prova di vigenza.","","","",""
