istat_code,comune,provincia,old_status,new_status,observed_variant,procedural_status,act_and_date,bur_publication,source_title,source_type,source_url,evidence_used,geometry_source,geometry_format,notes_gap,materialization_status,materialized_sha256
030059,Moggio Udinese,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,16,VARIANT_16_ADOPTED_WITH_APPROVAL_MATERIAL_PRESENT,DCC 52 del 17/12/2025 - adozione; documenti DC012-2026 di approvazione presenti,Avviso BUR presente tra gli allegati,Pianificazione e governo del territorio - Moggio Udinese,COMUNE_OFFICIAL_TRANSPARENCY,https://www.comune.moggioudinese.ud.it/it/amministrazione-trasparente-7882/pianificazione-e-governo-del-territorio-8055,"Pagina comunale aggiornata al 24/03/2026 espone Variante 16 e documenti di approvazione, oltre a varianti precedenti.",Comune - elaborati varianti,PDF,Necessaria verifica puntuale di efficacia finale/BUR e dell'allineamento di una geometria vettoriale corrente.,MATERIALIZED,B6CD3030D737FA340FDCDF0D6034C8C4ADA0E35BD3663BBBD9797D8641F9BAD6
030063,Moruzzo,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,28,VAR_28_ADOPTED; PRIOR_VARIANTS_PRESENT,DCC 7 del 30/04/2026 - adozione Variante 28,BUR 20 del 20/05/2026 - avviso di adozione,Pianificazione e governo del territorio - Moruzzo,COMUNE_OFFICIAL_TRANSPARENCY,https://servizionline.comune.moruzzo.ud.it/c030063/zf/index.php/trasparenza/index/index/categoria/109,"Sezione ufficiale mostra Var.23 approvazione 'VIGENTE', varianti 26-27 e Var.28 in sola ADOZIONE.",Comune - PRGC/varianti,PDF/WEB,"La base vigente e le varianti puntuali sono individuate, ma la lineage efficace completa fino a Var.27 e l'allineamento vettoriale devono essere ricostruiti prima della promozione.",MATERIALIZED,2DD9B3733EA6896658A3D36283265395C33CBB0E914D012A176A91898B8D4A01
030066,Osoppo,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,17,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,PRGC Osoppo - Variante 17,COMUNE_OFFICIAL_DOCUMENT,https://comune.osoppo.ud.it/media/files/030066/attachment/All._1_-_RELAZIONE_Yc6PyO7.pdf,Relazione comunale ufficiale della Variante 17; altre fonti istituzionali segnalano procedimenti successivi.,Comune - PDF Variante 17,PDF,Ultima variante efficace non chiusa; nessun vettore corrente allineato verificato.,MATERIALIZED,EAC10B35DF24EF63C288A43FEF7F4B0804AB5CFF1328460AF8170C65918B1E74
030070,Palmanova,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,71,ADOPTED_NOT_PROVEN_EFFECTIVE,DCC 53 del 18/12/2025 - adozione Variante 71,,Adozione Variante 71 - Palmanova,COMUNE_OFFICIAL_ACT,https://comune.palmanova.ud.it/media/files/030070/attachment/Delibera_adozione_53_2025_12_18.pdf,Delibera ufficiale comunale documenta l'adozione della Variante 71.,Comune - elaborati Variante 71,PDF,Adozione non equivale a efficacia; manca prova finale di approvazione/pubblicazione e vettore corrente allineato.,MATERIALIZED,3B47C60311D557F61BF2B185B852D25421B598E1FDF67A1B79D569FEC74990C6
030072,Pasian di Prato,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,67,VARIANT_67_ADOPTION_NOTICE_PRESENT,,,Comune di Pasian di Prato - Territorio/PRGC,COMUNE_OFFICIAL_PAGE,https://comune.pasiandiprato.ud.it/,Il sito comunale espone Piano Regolatore e avviso di deposito relativo all'adozione della Variante 67; archivio pubblica PRGC coordinato con Var.58.,Comune - PRGC e varianti,PDF/WEB,Non chiusa l'efficacia della Var.67 né la sequenza delle varianti intermedie; vettore corrente non verificato.,MATERIALIZED,99C4B60D28C446B694EF001273FB77C3483DCC58A1EB113C5EA12B3A0D3F6444
030077,Porpetto,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,12,ADOPTED_NOT_PROVEN_EFFECTIVE,Adozione Variante 12 - maggio 2026,,Piano Regolatore Generale Comunale - adozione Variante 12,COMUNE_OFFICIAL_NOTICE,https://www.comune.porpetto.ud.it/novita/piano-regolatore-generale-comunale/,Avviso comunale del 22/05/2026 documenta il deposito dell'adozione della Variante 12.,Comune - elaborati Variante 12,PDF,Procedimento in adozione; non dimostrata efficacia finale né vettore corrente allineato.,NOT_MATERIALIZED,
030078,Povoletto,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,39,OFFICIAL_PRGC_PAGE_WITH_VARIANT_MODIFICATIONS,,,Piano Regolatore Generale Comunale - Povoletto,COMUNE_OFFICIAL_PRGC_PAGE,https://www.comune.povoletto.ud.it/piano-regolatore-generale-comunale/,Pagina comunale PRGC pubblica zonizzazione e modifiche fino alla Variante 39; documentazione separata cita procedimenti successivi.,Comune - zonizzazione e modifiche,PDF/WEB,La pagina PRGC non chiude la lineage delle varianti successive né l'allineamento vettoriale corrente.,NOT_MATERIALIZED,
030079,Pozzuolo del Friuli,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,51+,OFFICIAL_DOCUMENT_DESCRIBES_VIGENT_BASE_AND_SUCCESSIVE_VARIANTS,,,Relazione di variante PRGC - Pozzuolo del Friuli,COMUNE_OFFICIAL_DOCUMENT,https://comune.pozzuolo.udine.it/media/files/030079/attachment/Relazione_DtqzVMq.pdf,"Relazione comunale indica PRGC vigente basato sulla Variante generale 30 e successive varianti, tra cui 50 e 51.",Comune - PDF PRGC,PDF,Il documento non consente di stabilire con certezza l'ultima variante efficace al 2026; vettore corrente non verificato.,NOT_MATERIALIZED,
030084,Preone,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,,CURRENT_PRGC_ADOPTED_AND_APPROVED_CONFIRMED,,,DUPS Preone 2026-2028,COMUNE_OFFICIAL_PROGRAMMING_DOCUMENT,https://www.comune.preone.ud.it/media/files/030084/attachment/DupsPreone2026_2028.pdf,DUPS 2026-2028 dichiara tra gli strumenti urbanistici vigenti un PRGC adottato e approvato.,Comune - riferimento PRGC,PDF,La fonte corrente conferma l'esistenza del PRGC vigente ma non identifica la versione/ultima variante efficace; nessun vettore corrente verificato.,MATERIALIZED,BBF8BE059CE581BFF8BD66635D84DB6BA0176CEE6F413B0A9927431DA1711DB4
030095,Rive d'Arcano,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,Variante generale PPR 2026,ADOPTION_AGENDA_FOUND,Consiglio comunale 28/07/2026 - punto adozione variante generale,,Consiglio comunale - variante generale PRGC di conformazione PPR,COMUNE_OFFICIAL_NOTICE,https://www.comune.rivedarcano.ud.it/novita/avviso-di-convocazione-del-consiglio-comunale-6/,Avviso ufficiale del luglio 2026 documenta all'ordine del giorno l'adozione di una variante generale al PRGC per conformazione PPR.,Comune - procedimento variante generale,WEB/PDF,Non identificato nella fonte l'esito finale/numero ed efficacia della variante; base vigente e vettore corrente restano da chiudere.,NOT_MATERIALIZED,
030099,San Daniele del Friuli,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,104,OFFICIAL_VARIANTS_INDEX_FOUND,,,Comune di San Daniele del Friuli - Pianificazione territoriale,COMUNE_OFFICIAL_PAGE,https://www.comune.sandanieledelfriuli.ud.it/,"Il sito comunale corrente espone varianti PRGC 102, 103 e 104 e un procedimento di assestamento.",Comune - documenti varianti,PDF/WEB,Non ricostruita in modo completo la data di efficacia dell'ultima variante né un vettore corrente allineato.,MATERIALIZED,B6CD3030D737FA340FDCDF0D6034C8C4ADA0E35BD3663BBBD9797D8641F9BAD6
030100,San Giorgio di Nogaro,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,58,OFFICIAL_VARIANTS_INDEX_FOUND,,,Mappa del sito - varianti allo strumento urbanistico,COMUNE_OFFICIAL_INDEX,https://www.comune.sangiorgiodinogaro.ud.it/mappa-del-sito,Indice ufficiale corrente elenca varianti allo strumento urbanistico fino alla n.58; pagine dedicate documentano singole varianti.,Comune - documenti varianti POC/PRGC,PDF/WEB,Per la variante più recente non è stata chiusa la sequenza adozione-approvazione-efficacia; nessun vettore corrente verificato.,MATERIALIZED,F8658C57F784852F775A6B8917100919FA10A094F2928BB0E9E80F45A56002C7
030104,Santa Maria la Longa,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,26,OFFICIAL_PRGC_DOCUMENTS_FOUND,,,Edilizia privata - documenti PRGC,COMUNE_OFFICIAL_OFFICE_PAGE,https://www.comune.santamarialalonga.ud.it/it/amministrazione-244352/aree-amministrative-244353/servizio-tecnico-244266/edilizia-privata-244279,Pagina comunale dell'ufficio collega documenti PRGC Variante 26 e Variante 24.,Comune - documenti tecnici PRGC,PDF,Non chiusa l'ultima variante efficace e non verificato un vettore corrente allineato.,MATERIALIZED,3648A06688E46C98B3991FE698262B1D6115B0E1DDAB553A10545EF87D9439E7
030113,Taipana,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,,OFFICIAL_PRGC_PAGE_FOUND,,,Piano regolatore generale - Taipana,COMUNE_OFFICIAL_PRGC_PAGE,https://www.comune.taipana.ud.it/documento_pubblico/piano-regolatore-generale/,Pagina ufficiale comunale dedicata al Piano Regolatore Generale.,Comune - PRG,PDF/LINK,La pagina non espone versione o ultima variante efficace; vettore corrente non verificato.,NOT_MATERIALIZED,
030121,Tolmezzo,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,122,ADOPTED_DEPOSITED_NOT_PROVEN_EFFECTIVE,Deposito 22/01/2026-21/02/2026,,Variante 122 al PRGC - deposito elaborati,COMUNE_OFFICIAL_NOTICE,https://www.comune.tolmezzo.ud.it/novita/variante-122-al-prgc-depositati-gli-elaborati-allufficio-urbanistica-in-libera-visione-del-pubblico/,Avviso comunale del 21/01/2026 documenta deposito della Variante 122 di conformazione al PPR.,Comune - elaborati Variante 122,PDF,"La fonte documenta fase di deposito, non l'efficacia finale; vettore corrente non chiuso.",NOT_MATERIALIZED,
030123,Torviscosa,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,17,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,NTA integrate - Variante 17 Torviscosa,COMUNE_OFFICIAL_DOCUMENT,https://comune.torviscosa.ud.it/media/files/md/030123/C-NTAintegrateaggVARIANTE_17DopoOSSERVAZIONI.pdf,Documento comunale ufficiale relativo alle NTA integrate della Variante 17.,Comune - PDF Variante 17,PDF,Non chiusa la prova che la Variante 17 sia l'ultima efficace al 2026; nessun vettore corrente verificato.,MATERIALIZED,C6C27DD002229FA99CB0EB5E85DF0597B4286D63AF569311C4DBE427E1CDC58A
030126,Treppo Grande,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,Nuovo PRGC + Variante 1,NEW_PRGC_APPROVED_SUCCESSIVE_VARIANT_DOCUMENTED,Nuovo PRGC approvato nel 2021; esecutivita regionale 2022 indicata negli elaborati,,Nuovo Piano Regolatore Generale Comunale,COMUNE_OFFICIAL_PRGC_PAGE,https://comune.treppogrande.ud.it/it/novita-223234/notizie-223235/nuovo-piano-regolatore-generale-comunale-prgc-105689,Pagina comunale documenta approvazione del nuovo PRGC; elaborati comunali successivi documentano Variante 1.,Comune - elaborati PRGC,PDF,Non chiusa in modo univoco l'efficacia dell'ultima variante successiva né disponibile un vettore corrente verificato.,MATERIALIZED,3648A06688E46C98B3991FE698262B1D6115B0E1DDAB553A10545EF87D9439E7
030127,Tricesimo,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,82,ADOPTED_NOT_PROVEN_EFFECTIVE,DCC 50 del 29/10/2025 - adozione,,Variante n.82 al PRGC,COMUNE_OFFICIAL_NOTICE,https://www.comune.tricesimo.ud.it/it/news/variante-n-82-al-prgc,Avviso ufficiale documenta adozione e deposito della Variante 82 di conformazione al PPR.,Comune - elaborati Variante 82,PDF,Adozione non equivale a vigenza; non reperita prova finale di efficacia né vettore corrente verificato.,MATERIALIZED,9474EC2B067AB417DBCE49E2D1DCBF81A70DE3D2F4059BA7F1AD8478278B4F94
030128,Trivignano Udinese,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,27,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,PRGC Trivignano Udinese - Variante 27,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.trivignano-udinese.ud.it/media/files/030128/attachment/Trivignano_Prgc_v_27_Relazione_mshHpYP.pdf,Relazione ufficiale comunale della Variante 27.,Comune - PDF Variante 27,PDF,Non dimostrata l'efficacia finale e l'assenza di varianti successive; nessun vettore corrente verificato.,MATERIALIZED,FAFE9906E8F556174D1D7907B42AD15D17807D8DF66CF925A017CE735A79B2F2
030188,Rivignano Teor,UD,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,8 + varianti puntuali 9-10,OFFICIAL_CURRENT_PLAN_PAGE_WITH_SUCCESSIVE_MODIFICATIONS,,,Pianificazione e governo del territorio - Rivignano Teor,COMUNE_OFFICIAL_TRANSPARENCY,https://www.comune.rivignanoteor.ud.it/it/amministrazione-trasparente-84310/pianificazione-e-governo-del-territorio-84380,Pagina comunale identifica la Variante 8 come piano vigente salvo modifiche puntuali introdotte dalle varianti 9 e 10.,Comune - elaborati PRGC,PDF/WEB,Per promozione serve chiudere efficacia e contenuti delle varianti 9-10 e verificare una geometria corrente allineata.,MATERIALIZED,3648A06688E46C98B3991FE698262B1D6115B0E1DDAB553A10545EF87D9439E7
031010,Mariano del Friuli,GO,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,12-13,OFFICIAL_PRGC_DOCUMENT_FOUND,,,PRG Norme tecniche - Mariano del Friuli,COMUNE_OFFICIAL_PRGC_DOCUMENT,https://www.comune.marianodelfriuli.go.it/it/amministrazione-34448/documenti-e-dati-34467/documento-funzionamento-interno-34470/prg-norme-tecniche-49285,Pagina comunale aggiornata nel 2026 pubblica norme PRG coordinate alle varianti 12 e 13 e il sito richiama il PRGC vigente.,Comune - norme PRGC,PDF/WEB,Non chiusa l'ultima variante efficace e non acquisita geometria vettoriale corrente.,MATERIALIZED,99C4B60D28C446B694EF001273FB77C3483DCC58A1EB113C5EA12B3A0D3F6444
031011,Medea,GO,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,24/25/26,OFFICIAL_VARIANTS_INDEX_FOUND,,,Piano Regolatore Generale Comunale e Varianti - Medea,COMUNE_OFFICIAL_TRANSPARENCY,https://www.comune.medea.go.it/it/amministrazione-trasparente-7833/pianificazione-e-governo-del-territorio-8050/piano-regolatore-generale-comunale-e-varianti-104090,"Pagina comunale pubblica PRGC e documentazione delle varianti 24, 25 e 26.",Comune - PRGC e varianti,PDF/WEB,La numerazione e gli atti esposti non permettono di stabilire senza ulteriori verifiche quale sia l'ultima variante efficace; vettore corrente non verificato.,MATERIALIZED,B6CD3030D737FA340FDCDF0D6034C8C4ADA0E35BD3663BBBD9797D8641F9BAD6
031014,Mossa,GO,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,21,VARIANT_21_PROJECT_FOUND,,,PRGC Mossa - progetto Variante 21,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.mossa.go.it/media/files/031014/attachment/v1_A_Tav_Mossa_2000_per_adozione_VAR_21_NORD_pigO0VO.pdf,Tavola comunale ufficiale del progetto Variante 21; altra documentazione comunale storica attesta varianti precedenti.,Comune - tavole Variante 21,PDF,Non chiuso l'esito procedurale/efficacia della Variante 21 né verificata geometria vettoriale corrente.,MATERIALIZED,4A21780FB30D061E360B250AF5020B4B0FCFF4E8BEDC2F2713C5116D30B869D5
031015,Romans d'Isonzo,GO,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,41,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,Variante 41 al PRGC - verifica VAS,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.romans.go.it/media/files/031015/attachment/sad_00QJE_RMSPAC_20_Verifica_di_non_assoggettabilita_VAS_JVadvLn.pdf,Documento comunale descrive la Variante 41 e richiama il PRGC vigente.,Comune - elaborati Variante 41,PDF,Non dimostrata l'efficacia finale della Variante 41 e l'assenza di varianti successive; vettore corrente non verificato.,MATERIALIZED,A6D6C24A1516CCB55D4A492F2AF9344F31DBB89B3530DD900BB4C5BD03B3374A
031024,Turriaco,GO,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,20,APPROVED_EFFECTIVENESS_PUBLICATION_NOT_CLOSED,DCC 26 del 17/11/2025 - approvazione,,Approvazione Variante 20 - Turriaco,COMUNE_OFFICIAL_ACT,https://www.comune.turriaco.go.it/media/files/031024/attachment/Delibera_C.C._26_del_17.11.2025.pdf,Delibera comunale ufficiale approva la Variante 20 dopo l'adozione del 26/05/2025.,Comune - elaborati Variante 20,PDF,Non chiusa con evidenza separata la pubblicazione/efficacia finale e non verificato un vettore corrente allineato.,MATERIALIZED,3C285390B7AC0E04CC45236E01BCD9E939272806124BF45601FC10CA93283B63
093002,Arba,PN,TO_VERIFY,CURRENT_PLAN_VERIFIED_NO_VECTOR,26,VIGENTE,DCC 3 del 25/01/2024 - approvazione,In vigore dal 08/02/2024 secondo documento comunale,DUP 2025-2027 - strumenti urbanistici vigenti,COMUNE_OFFICIAL_PROGRAMMING_DOCUMENT,https://www.comune.arba.pn.it/media/files/093002/attachment/DUP_2025_2027.pdf,"DUP comunale corrente elenca tra gli strumenti vigenti la Variante 26, approvata il 25/01/2024 e in vigore dal 08/02/2024; segnala solo nuovi incarichi per future varianti.",Nessun vettore ufficiale corrente acquisito,NONE,Vigenza del piano chiusa; resta da acquisire una geometria vettoriale ufficiale corrente o documentare percorso alternativo in fase successiva.,MATERIALIZED,69011D81AEDF518996F48E8BED44232222B90EDA231A07A45237FCE538CA2A4E
093006,Barcis,PN,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,22,OFFICIAL_VARIANT_DOCUMENT_FOUND,,,PRGC Barcis - Variante 22,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.barcis.pn.it/media/files/093006/attachment/22_R_URB_1_A_relazione_illustrativa.pdf,Relazione comunale ufficiale della Variante 22.,Comune - elaborati Variante 22,PDF,Non chiusa la sequenza di approvazione/efficacia e l'assenza di varianti successive; vettore corrente non verificato.,MATERIALIZED,586A6519FEEDE75370B55617725506C89DFAF09697852203BAFD83274E24F165
093014,Cimolais,PN,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,16B,OFFICIAL_EXECUTIVE_PLAN_DOCUMENT_FOUND,,,PRGC Cimolais - Variante 16B,COMUNE_OFFICIAL_DOCUMENT,https://www.comune.cimolais.pn.it/media/files/md/093014/16B_Norme_tecniche_di_attuazione.pdf,"NTA comunali della Variante 16B, indicate come testo coordinato - esecutivita.",Comune - NTA Variante 16B,PDF,La fonte non dimostra che 16B sia ancora l'ultima variante efficace al 2026; vettore corrente non verificato.,MATERIALIZED,32B556C40418B7A6247DC96622CA07F2B2222502C77F769B00F7377716DDC0AA
093015,Claut,PN,TO_VERIFY,CURRENT_SOURCE_FOUND_LINEAGE_INCOMPLETE,21,APPROVED,Avviso approvazione pubblicato 02/08/2024,,Approvazione Variante non sostanziale 21 - Claut,COMUNE_OFFICIAL_NOTICE,https://www.comune.claut.pn.it/it/novita-103324/notizie-103325/approvazione-della-variante-non-sostanziale-n-21-alle-norme-di-attuazione-del-piano-regolatore-generale-ai-sensi-della-lr-52007-art-63-sexies-126068,Pagina comunale ufficiale documenta approvazione della Variante 21 alle NTA.,Comune - elaborati PRGC,PDF/WEB,Non dimostrata l'assenza di varianti efficaci successive al 2024 e non verificato un vettore corrente allineato.,MATERIALIZED,B6CD3030D737FA340FDCDF0D6034C8C4ADA0E35BD3663BBBD9797D8641F9BAD6
