site_code,site_name,biogeographic_region,current_designation,sic_layer_presence,zps_layer_presence,sic_tipo_sito_raw,zps_tipo_sito_raw,dgr30_preassessment_annex,dgr30_site_header,preassessment_activity_count,preassessed_green_count,screening_required_red_count,not_applicable_yellow_count,unknown_count,current_conservation_basis,current_measure_check_required,functional_interference_basis,site_specific_override,crosswalk_method,geometry_source,geometry_sha256_sic,geometry_sha256_zps,limitations
IT3310008,Magredi di Tauriano,continentale,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A3,Magredi di Tauriano,50,31,0,19,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310009,Magredi del Cellina,continentale,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A3,Magredi del Cellina,50,37,0,13,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310010,Risorgive del Vinchiaruzzo,continentale,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A3,Risorgive del Vinchiaruzzo,50,27,4,19,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310011,Bosco Marzinis,continentale,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A3,Bosco Marzinis,50,15,8,27,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310012,Bosco Torrate,continentale,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A3,Bosco Torrate,50,8,8,34,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3310013,Torrente Arzino,alpina,pSIC,YES,NO,B- pSIC senza relazioni con altro sito NATURA 2000,,A2,Torrente Arzino,50,41,0,9,0,Verifica obbligatoria nel registro regionale corrente delle misure/piani del sito,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3311001,Magredi di Pordenone,Continentale,ZPS,NO,YES,,A - ZPS che contiene ZSC ,A3,Magredi di Pordenone,50,44,0,6,0,DGR 594/2025 per componente ZPS,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320001,Gruppo del Monte Coglians,alpina,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A2,Gruppo del Monte Coglians,50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320002,Monti Dimon e Paularo,alpina,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A2,Monti Dimon e Paularo,50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320003,Creta di Aip e Sella di Lanza,alpina,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A2,Creta di Aip e Sella di Lanza,50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320004,Monte Auernig e Monte Corona,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Monte Auernig e Monte Corona,50,41,0,9,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320005,Valloni di Rio Bianco e di Malborghetto,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Valloni di Rio Bianco e di Malborghetto,50,42,0,8,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320006,Conca di Fusine,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Conca di Fusine,50,42,0,8,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320007,Monti Bivera e Clapsavon,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Monti Bivera e Clapsavon,50,41,0,9,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320008,Col Gentile,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Col Gentile,50,39,0,11,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320009,Zuc dal Bor,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Zuc dal Bor,50,39,1,10,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320010,Jof di Montasio e Jof Fuart,alpina,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A2,Jof di Montasio e Jof Fuart,50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320011,Monti Verzegnis e Valcalda,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Monti Verzegnis e Valcalda,50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320012,Prealpi Giulie Settentrionali,alpina,ZSC,YES,NO,G - ZSC incluso in una ZPS,,A2,Prealpi Giulie Settentrionali,50,42,0,8,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320013,Lago Minisini e Rivoli Bianchi,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Lago Minisini e Rivoli Bianchi,50,41,0,9,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320014,Torrente Lerada,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Torrente Lerada,50,41,0,9,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320015,Valle del medio Tagliamento,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A3,Valle del Medio Tagliamento,50,48,0,2,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320016,Forra del Cornappo,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Forra del Cornappo,50,41,0,9,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320017,Rio Bianco di Taipana e Gran Monte,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Rio Bianco di Taipana e Gran Monte,50,41,0,9,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320018,Forra del Pradolino e Monte Mia,alpina,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A2,Forra del Pradolino e Monte Mia,50,41,0,9,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320019,Monte Matajur,alpina,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A2,Monte Matajur,50,41,0,9,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320020,Lago di Ragogna,continentale,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A3,Lago di Ragogna,50,27,0,23,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320021,Torbiere di Casasola e Andreuzza,continentale,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A3,Torbiera di Casasola e Andreuzza,50,26,0,24,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320022,Quadri di Fagagna,continentale,ZSC+ZPS,YES,YES,C - ZSC e ZPS coincidenti,C - ZSC e ZPS coincidenti,A3,Quadri di Fagagna,50,41,0,9,0,DGR 594/2025 per componente ZPS; DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,949724e039aac197490c80e0ebbdfb6fbb46bf2a12f3b457e3989af0bc032660,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
IT3320023,Magredi di Campoformido,continentale,ZSC,YES,NO,B - ZSC senza relazioni con altro sito NATURA 2000,,A3,Magredi di Campoformido,50,31,0,19,0,DGR 1148/2024 o DGR 1149/2024 per componente ZSC secondo regione biogeografica,YES,DGR 30/2026 Allegato C,,Validated Chat 3.4 site code/name + DGR30 A2/A3 site header normalized-name match; explicit alias only for Torbiera/Torbiere di Casasola e Andreuzza,Chat 3.4 validated WFS snapshot 2026-09-19; geometry not recreated,772dabc52d720eaedfc5bd8de6649d2be915c01a88d2686d553137e3ebaa2e06,,"Crosswalk establishes rule applicability lineage, not a formal VINCA determination."
