rule_id,rule_type,rule_priority,source_id,legal_basis,effective_date,site_scope,site_code,project_or_activity_scope,activity_code,spatial_condition,functional_interference_condition,required_conditions,correspondence_check_required,source_outcome,intermediate_classification,model_action,limitations,evidence_reference,measure_refs,source_page
N2K_IF_002,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZSC_OR_ZPS_EXCEPT_IT3320037,,Major ski slope/lift meeting Annex C thresholds,,radius <= 2000 m from ZSC or ZPS,Trigger determines external functional-interference scope,Thresholds in Annex C p.3 must all be evaluated,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.3 / summary p.6,,
N2K_IF_003,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZPS_EXCEPT_IT3320037,,Major overhead electric line >100 kV and route >3 km,,radius <= 2000 m from ZPS,Trigger determines external functional-interference scope,Both voltage and length thresholds must be proven,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.3 / summary p.6,,
N2K_IF_004,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZPS_EXCEPT_IT3320037,,Airport or airstrip,,radius <= 2000 m from ZPS,Trigger determines external functional-interference scope,Project category must be proven,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.3 / summary p.6,,
N2K_IF_005,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZPS_EXCEPT_IT3320037,,Industrial wind >1 MW on land or offshore wind,,radius <= 5000 m from ZPS,Trigger determines external functional-interference scope,Project category/power must be proven,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.3 / summary p.6,,
N2K_IF_006,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZSC_OR_ZPS_EXCEPT_IT3320037,,Hydrocarbon prospecting/research/extraction land or sea,,radius <= 3000 m from ZSC or ZPS,Trigger determines external functional-interference scope,Project category must be proven,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.3 / summary p.6,,
N2K_IF_007,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZSC_OR_ZPS_EXCEPT_IT3320037,,"Minor project, generic",,radius <= 300 m from ZSC or ZPS,Trigger determines external functional-interference scope,Minor-project classification must be proven; urban-zone exception requires proof of prior VINCA,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.4,,
N2K_IF_008,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZSC_OR_ZPS_EXCEPT_IT3320037,,"Other intervention/activity, generic",,radius <= 50 m from ZSC or ZPS,Trigger determines external functional-interference scope,Urban-zone exception requires proof of prior VINCA,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.5,,
N2K_IF_009,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZSC_OR_ZPS_EXCEPT_IT3320037,,Specified motor/sport/flight manifestations,,radius <= 300 m from ZSC or ZPS,Trigger determines external functional-interference scope,Dedicated-structure exception must be verified,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.5,,
N2K_IF_010,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,IT3341002;IT3340006;SAPPADA_SPECIAL_CONTEXT,,Carso/Sappada minor projects/interventions/activities,,radius <= 50 m,Trigger determines external functional-interference scope,Applies only to special Carso/Sappada context in Annex C point 6; urban-zone exception requires proof,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.6.1,,
N2K_IF_011,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,IT3341002;IT3340006;SAPPADA_SPECIAL_CONTEXT,,"Carso/Sappada new permanent extraurban/forest roads, pond/stagnant-water alteration, hydraulic reclamation of natural wetland",,radius <= 300 m,Trigger determines external functional-interference scope,Exact special category and Carso/Sappada context must be proven,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.6.2,,
N2K_IF_012,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,FLUVIAL_WET_COASTAL_CONTEXT_EXCEPT_IT3320037,,"Project affecting water regime or watercourse morphology, excluding maintenance of pre-existing works",,within 1 km upstream/downstream of affected Natura 2000 site along watercourse,Trigger determines external functional-interference scope,Hydrological relation must be established; not Euclidean proxy,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.7.1,,
N2K_IF_013,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,IT3310005;IT3320021;IT3320022;IT3310010;IT3320026;IT3320027;IT3320028;IT3320031;IT3320032;IT3330001;IT3310011;IT3310012;IT3320033;IT3320034;IT3320035,,Groundwater derivation for the 15 sites listed in Annex C,,radius <= 300 m from listed site boundary,Trigger determines external functional-interference scope,Site code must be in explicit Annex C point 7.2 list,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.7.2 / summary p.6,,
N2K_IF_014,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,MARINE_COASTAL_CONTEXT_EXCEPT_IT3320037,,Marine/coastal project categories listed in Annex C,,radius <= 1000 m from ZSC or ZPS,Trigger determines external functional-interference scope,Project category must be proven,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.7.3,,
N2K_IF_015,FUNCTIONAL_INTERFERENCE,100,DGR30_2026_C,DGR 30/2026 Allegato C,2026-01-28,ZSC_CONNECTED_BY_RER_EXCEPT_IT3320037,,Minor project in PPR/RER connectivity component affecting or connecting >=2 ZSC,,distance < 2500 m from at least two ZSC,Trigger determines external functional-interference scope,Requires official RER component and >=2-ZSC relationship; no proximity-only proxy,NO,FUNCTIONAL_INTERFERENCE_TRIGGER,,SPECIFIC_VINCA_SCREENING_REQUIRED,This action is terminal only if no applicable green preassessment covers the same P/I/A after correspondence and conservation-measure checks; VIA/VAS may trigger assessment beyond listed distances,C p.8,,
N2K_IF_016,FUNCTIONAL_INTERFERENCE_CONDITIONAL_REDUCTION,90,DGR30_2026_C,DGR 30/2026 Allegato C point 2.2,2026-01-28,ALL_EXCEPT_IT3320037,,Potential halving of an otherwise applicable external-interference distance,,"Only where the adjacent site portion is proven, within 300 m from site perimeter, to lack EU-interest habitat and mapped fauna-interest areas and is outside park/reserve/MPA/biotope",Conditional modification of another distance,All source conditions must be verified from authoritative habitat/fauna/protected-area data; UNKNOWN => no halving,NO,CONDITIONAL_DISTANCE_REDUCTION,,MANUAL_REVIEW_REQUIRED,Never halve from missing data or simple map impression,C p.2.2,,
N2K_LAG_001,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,VIA/screening-VIA project not in level-II list,,radius <= 1000 m,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_I_SCREENING,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_002,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,Overhead electric transmission line,,radius <= 3000 m,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_I_SCREENING,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_003,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,Wind plant on land or sea,,radius <= 10000 m,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_I_SCREENING,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_004,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,Hydrocarbon drilling for research/extraction,,radius <= 20000 m,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_I_SCREENING,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_005,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,P/I/A modifying/altering/discharging/withdrawing in listed lagoon-basin ecological-corridor watercourses,,"Official corridor: Stella, Turgnano, Cormor, Zellina, Corno, Ausa, Natissa, Zemole from lagoon shoreline to SR14 intersection",Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_I_SCREENING,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_006,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,Any intervention on external sandbanks/perilagoon beaches,,Official barrier-island / perilagoon-sand system from plan cartography,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_I_SCREENING,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_007,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,Other P/P/P/I/A,,radius <= 300 m,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_I_SCREENING;_URBAN_ZONE_AND_EVENT_EXCEPTIONS_REQUIRE_EXACT_SOURCE_PROOF,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_008,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,Listed industrial/logistic/urban/coastal/electric/waste/water etc. project in 300 m buffer,,radius <= 300 m,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_II_APPROPRIATE_ASSESSMENT_ACCORDING_TO_PLAN_LIST,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
N2K_LAG_009,SITE_SPECIFIC_FUNCTIONAL_INTERFERENCE,80,DPREG65_2025_ANNEX14,"DPReg 065/2025 Piano di gestione IT3320037, Allegato 14",2026-01-28,IT3320037,,New external port/tourist landing or expansion >10 berths,,Site-specific areas/measures; >10 berths,Overrides generic DGR30/2026 Annex C where site plan is more specific,Use official plan cartography/criteria and exact project category,NO,LEVEL_II_APPROPRIATE_ASSESSMENT,,SPECIFIC_VINCA_SCREENING_REQUIRED,Level-II source requirement is recorded as MANUAL_REVIEW_REQUIRED because the 5 HUB pre-screen does not simulate formal VINCA level-II decisions,Annex 14 pp.3-5,,
DGR30_A2_IT3230006_1_01,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3230006,IT3230006,"1.01 Interventi di manutenzione ordinaria del patrimonio edilizio e infrastrutturale. Verificare la misura di conservazione REPJ30 e REPJ29,0 se vigente nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home.",1.01,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3230006; PDF page 17; activity 1.01; site evidence: Sono presenti edifici rurali isolati con possibile presenza di chiortteri ma la manutenzione ordinaria non apporta modifiche tali da disturbare eventuali colonie. Anche in caso di manutenzione straordinaria vengono posti dei limiti agli interventi prevalutati (vedi colonna successiva).,REPJ29.0;REPJ30,17
DGR30_A2_IT3230006_1_02,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3230006,IT3230006,1.02. Interventi di manutenzione straordinaria del patrimonio edilizio e infrastrutturale purché non comportino cambio di destinazione d’uso o la riutilizzazione di edifici o porzioni di edifici non più abitabili o agibili. Verificare la misura di conservazione REPJ01.0 se vigente nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .,1.02,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3230006; PDF page 17; activity 1.02; site evidence: Sono presenti edifici rurali isolati con possibile presenza di chiortteri. Per tale motivo la prevalutazione è limitata ai casi di manutenzione straorinaria senza cambio di destinazione d’uso o riutilizzazione di edifici o porzioni di edifici non più abitabili o agibili.,REPJ01.0,17
DGR30_A2_IT3230006_1_03,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3230006,IT3230006,1.03. Interventi volti all'eliminazione di barriere architettoniche in edifici esistenti.,1.03,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3230006; PDF page 17; activity 1.03; site evidence: L'inervento consiste in modeste modifiche di edifici abitatbili altrimenti si ricade in ristrutturazione edilizia previa VINCA,,17
DGR30_A2_IT3230006_1_04,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3230006,IT3230006,1.04. Mutamenti di destinazione d'uso degli immobili attuati senza esecuzione di opere edilizie.,1.04,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3230006; PDF page 17; activity 1.04; site evidence: L'intervento è possibile solo in ambienti già agibili e quindi il suo riutilizzo non determina un aumento della pressione sull'ambiente.,,17
DGR30_A2_IT3230006_1_05,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3230006,IT3230006,"1.05. Realizzazione di pertinenze, di edifici o di unità immobiliari esistenti, che non comportino volumetria e destinate ad arredi da giardino o terrazzo, barbecue e tutti gli interventi di ornamento dell'edificio o sue pertinenze.",1.05,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3230006; PDF page 18; activity 1.05; site evidence: L'intervento su edficio esistente già agibile limitato alle sue pertinenze e quindi privo di effetti sull'esterno.,,18
DGR30_A2_IT3230006_1_06,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3230006,IT3230006,"1.06. Interventi di ampliamento o realizzazione di pertinenze di edifici o unità immobiliari esistenti che comportino volumetria, bussole, verande, serre e depositi attrezzi e simili, nei limiti del 10 per cento del volume utile dell'edificio o dell'unita' immobiliare esistenti, se a destinazione residenziale, o nei limiti del 5 per cento della superficie utile dell'edificio o dell'unita' immobiliare esistenti se a uso diverso; gli interventi non possono comunque comportare un aumento superiore a 25 metri cubi per unità immobiliare, anche in più interventi.",1.06,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3230006; PDF page 18; activity 1.06; site evidence: L'intervento su edificio esistente già agibile e che non necessita di ristrutturazione edilizia o se soggetto a manutenzione straordinaria nei limiti del punto 1.2,,18
DGR30_A2_IT3230006_1_07,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3230006,IT3230006,"1.07. Realizzazione di tettoie o pavimentazione di aree pertinenziali degli edifici o unità immobiliari esistenti, anche destinate a parcheggio, che comportino un'occupazione complessiva massima di 10 mq rispettivamente di superficie coperta o di superficie utile per unità immobiliare fino ad un massimo complessivo di 100 mq.",1.07,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3230006; PDF page 18; activity 1.07; site evidence: L'intervento interessa superfici minime dell'area di pertinenza di un edificio esistente senza effetti sull'ambiente esterno,,18
