istat_code,comune,sigla_provincia,eagle_probe_status,eagle_config,eagle_project,eagle_plan_codes,eagle_ambiti,source_candidate,source_format_access,access_status,cer_D_count,cer_D_latest_data_val,cer_D_variants,cer_H_count,cer_H_latest_data_val,cer_H_variants,current_prgc_date_or_variant,current_prgc_source,current_prgc_validation_status,sample_comparison_result,quality_note
030011,Bicinicco,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,24,20160929,16,1,20160929,16,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030012,Bordano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGBordano,Guest_PRGBordano,A983,AMB_023,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,1,20171019,8,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030013,Buja,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,43,20141211,39,5,20141211,39,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030014,Buttrio,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGButtrio,Guest_PRGButtrio,B309,AMB_027,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,18,20161215,40,5,20161215,40,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030015,Camino al Tagliamento,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCaminoAlTagliamento,Guest_PRGCaminoAlTagliamento,B483,AMB_028,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,15,20170413,45,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030016,Campoformido,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCampoformido,Guest_PRGCampoformido,B536,AMB_001,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,54,20170323,76,23,20170323,76,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030018,Carlino,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCarlino,Guest_PRGCarlino,B788,AMB_005,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,10,20161208,28,7,20161208,28,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030019,Cassacco,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,29,20150723,45,26,20150723,45,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030020,Castions di Strada,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCastionsDiStrada,Guest_PRGCastionsDiStrada,C327,AMB_057,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,18,20170810,12,10,20170810,12,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030021,Cavazzo Carnico,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCavazzoCarnico,Guest_PRGCavazzoCarnico,C389,AMB_059,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,3,,34,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030022,Cercivento,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCercivento,Guest_PRGCercivento,C494,AMB_060,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,3,,2009,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030023,Cervignano del Friuli,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCervignanoDelFriuli,Guest_PRGCervignanoDelFriuli,C556,AMB_029,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,26,20170427,88,15,20170427,88,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030024,Chiopris-Viscone,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGChioprisViscone,Guest_PRGChioprisViscone,C641,AMB_031,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,14,20130815,27,3,20130815,27,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030025,Chiusaforte,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,1,20131024,35,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030026,Cividale del Friuli,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCividaleDelFriuli,Guest_PRGCividaleDelFriuli,C758,AMB_034,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,6,20170406,15,2,20170406,15,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030027,Codroipo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCodroipo,Guest_PRGCodroipo,C817,AMB_037,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,65,20171214,73,56,20171214,73,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030028,Colloredo di Monte Albano,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,5,20161222,19,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030029,Comeglians,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGComeglians,Guest_PRGComeglians,C918,AMB_071,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20170615,15,2,20170615,15,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030030,Corno di Rosazzo,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,20,20151105,26,5,20151105,26,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030031,Coseano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCoseano,Guest_PRGCoseano,D085,AMB_076,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,20,20180104,37|37+36,7,20180104,37|37+36,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030032,Dignano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGDignano,Guest_PRGDignano,C556,AMB_029,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20170223,28,4,20170223,28,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030033,Dogna,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGDogna,Guest_PRGDogna,D316,AMB_040,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030034,Drenchia,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGDrenchia,Guest_PRGDrenchia,D366,AMB_043,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030035,Enemonzo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGEnemonzo,Guest_PRGEnemonzo,D408,AMB_045,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,11,20170420,15,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030036,Faedis,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGFaedis,Guest_PRGFaedis,D455,AMB_047,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,16,20140220,20,2,20140220,20,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030037,Fagagna,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,44,20151217,45,21,20151217,45,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030039,Flaibano,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,8,20160303,15,1,20160303,15,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030040,Forni Avoltri,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGForniAvoltri,Guest_PRGForniAvoltri,D718,AMB_061,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,8,20110127,1,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030041,Forni di Sopra,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGForniDiSopra,Guest_PRGForniDiSopra,D719,AMB_062,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,5,20161124,55,2,20161124,55,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030042,Forni di Sotto,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGForniDiSotto,Guest_PRGForniDiSotto,D720,AMB_063,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,2,20100101,Edizione 2010,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030043,Gemona del Friuli,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGGemonaDelFriuli,Guest_PRGGemonaDelFriuli,D962,AMB_065,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,91,20171121,61,32,20171121,61,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030044,Gonars,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,9,20171103,7,4,20171103,7,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030045,Grimacco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGGrimacco,Guest_PRGGrimacco,E179,AMB_070,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,2,20010412,0,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030046,Latisana,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,43,20151210,64,34,20151210,64,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030047,Lauco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGLauco,Guest_PRGLauco,E476,AMB_082,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,3,20120510,20,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030048,Lestizza,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGLestizza,Guest_PRGLestizza,E553,AMB_083,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,24,20151112,23,2,20151112,23,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030049,Lignano Sabbiadoro,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,9,20150430,50,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030051,Lusevera,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,5,,1989 - da mosaicatura,4,,1989 - da mosaicatura,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030052,Magnano in Riviera,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMagnanoInRiviera,Guest_PRGMagnanoInRiviera,E820,AMB_087,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,27,20141016,37,8,20141016,37,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030053,Majano,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,51,20160526,27,13,20160526,27,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030054,Malborghetto Valbruna,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMalborghettoValbruna,Guest_PRGMalborghettoValbruna,E847,AMB_089,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,8,20161229,50,1,20161229,50,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030055,Manzano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGManzano,Guest_PRGManzano,E899,AMB_135,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,3,20141023,21,2,20141023,21,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030056,Marano Lagunare,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,3,20140109,6,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030057,Martignacco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMartignacco,Guest_PRGMartignacco,E982,AMB_138,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,27,20180412,44,16,20180412,44,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030058,Mereto di Tomba,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMeretoDiTomba,Guest_PRGMeretoDiTomba,F144,AMB_141,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,18,20171026,16,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030059,Moggio Udinese,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,7,20180118,11,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030060,Moimacco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMoimacco,Guest_PRGMoimacco,F275,AMB_148,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,14,20160211,26,3,20160211,26,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030061,Montenars,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMontenars,Guest_PRGMontenars,F574,AMB_110,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030062,Mortegliano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMortegliano,Guest_PRGMortegliano,F756,AMB_114,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,43,20180412,22,11,20180412,22,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030063,Moruzzo,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,7,20170727,22,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030064,Muzzana del Turgnano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGMuzzanaDelTurgnano,Guest_PRGMuzzanaDelTurgnano,F832,AMB_118,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,8,20171026,11,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030065,Nimis,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGNimis,Guest_PRGNimis,F898,AMB_119,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,20,20160825,29,1,20160825,29,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030066,Osoppo,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,17,20170608,14,9,20170608,14,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030067,Ovaro,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGOvaro,Guest_PRGOvaro,G198,AMB_106,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,18,20170112,64,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030068,Pagnacco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPagnacco,Guest_PRGPagnacco,G238,AMB_107,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,13,20130418,34,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030069,Palazzolo dello Stella,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPalazzoloDelloStella,Guest_PRGPalazzoloDelloStella,G268,AMB_108,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,17,20161222,59,14,20161222,59,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030070,Palmanova,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,22,20161110,63,3,20161110,63,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
